ODS,Organisation,ClosedDate,PartyKey,ASID,Supplier,Product,Version,EndpointCreated,CCGCode,CCG
A81032,"THE GARTH","",A81032-811865,200000021194,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81034,"THORNABY & BARWICK MEDICAL GROUP","",A81034-829984,200000019895,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81035,"NEWLANDS MEDICAL CENTRE","",A81035-811810,200000021141,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81036,"NORTON MEDICAL CENTRE","",A81036-829985,200000019896,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81037,"THE ERIMUS PRACTICE","",A81037-811866,200000021195,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81038,"HIRSEL MEDICAL CENTRE","",A81038-811867,200000021196,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81039,"EAGLESCLIFFE MEDICAL PRACTICE","",A81039-831564,200000034466,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20220623,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81040,"MARSH HOUSE MEDICAL PRACTICE","",A81040-810149,200000019999,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81041,"HART MEDICAL PRACTICE","",A81041-829986,200000019897,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81042,"SOUTH GRANGE MEDICAL GROUP PRACTICE","",A81042-811868,200000021197,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81043,"THE MANOR HOUSE SURGERY","",A81043-830863,200000033130,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20211221,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81044,"MCKENZIE HOUSE SURGERY","",A81044-829987,200000019898,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81045,"THE COATHAM ROAD SURGERY","",A81045-811869,200000021198,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81046,"WOODLANDS FAMILY MEDICAL CENTRE","",A81046-829988,200000019899,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81048,"ZETLAND MEDICAL PRACTICE","",A81048-811871,200000021199,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81049,"KINGS MEDICAL CENTRE","",A81049-811876,200000021200,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81051,"CAMBRIDGE MEDICAL GROUP","",A81051-811878,200000021201,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81052,"THE GREEN HOUSE SURGERY","",A81052-811885,200000021202,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81053,"WOODSIDE SURGERY","",A81053-830794,200000032990,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20211201,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81054,"THE SALTSCAR SURGERY","",A81054-811888,200000021203,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81056,"MELROSE SURGERY","",A81056-829989,200000019900,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81057,"KINGSWAY MEDICAL CENTRE","",A81057-829990,200000019901,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81058,"COULBY MEDICAL PRACTICE","",A81058-811813,200000021144,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81060,"THE KOH PRACTICE","",A81060-829991,200000019902,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81063,"THE HEADLAND MEDICAL CENTRE","",A81063-829992,200000019903,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81064,"THE DISCOVERY PRACTICE","",A81064-811894,200000021204,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81065,"THE ESTON SURGERY","",A81065-811898,200000021205,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81066,"PARK LANE SURGERY","",A81066-830645,200000032665,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20211028,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81066,"PARK LANE SURGERY","",YGA-0021074,200000032664,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20211028,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81067,"ALMA MEDICAL CENTRE","",A81067-829993,200000019904,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81070,"MCKENZIE GROUP PRACTICE","",A81070-829994,200000019905,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81602,"DR RASOOL","",A81602-829995,200000019906,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81608,"ELM TREE SURGERY","",A81608-829996,200000019907,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81610,"THE ROSEBERRY PRACTICE","",A81610-829997,200000019908,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81611,"PARKWAY MEDICAL CENTRE","",A81611-811814,200000021145,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81612,"THE PATEL PRACTICE","",A81612-829998,200000019909,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81618,"HUNTCLIFF SURGERY","",A81618-811815,200000021146,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81621,"THORNTREE SURGERY","",A81621-811903,200000021206,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81622,"GLADSTONE HOUSE SURGERY","",A81622-829999,200000019910,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81629,"RIVERSIDE MEDICAL PRACTICE","",A81629-810000,200000019911,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81630,FOUNDATIONS,"",A81630-811905,200000021207,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81631,"WEST VIEW MILLENIUM SURGERY A","",A81631-810002,200000019912,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81632,"LAWSON STREET PRACTICE","",YGA-0021074,518467544046,"THE PHOENIX PARTNERSHIP",SystmOne,"601 Core GP2GPLM EPS2(AS)",20140121,16C,"NHS TEES VALLEY CCG"
A81633,"FOUNDATIONS -HARRIS STREET","",A81633-811906,200000021208,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191218,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A81634,"THE ARRIVAL PRACTICE","",A81634-810007,200000019913,"THE PHOENIX PARTNERSHIP",TPP,"GP Connect",20191211,16C,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 16C"
A82003,"ULVERSTON HEALTH CENTRE (MURRAY)","",A82003-810833,200000020406,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82004,"ALSTON MEDICAL PRACTICE","",A82004-811086,200000020566,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82005,"AMBLESIDE HEALTH CENTRE","",A82005-810834,200000020407,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82006,"APPLEBY MEDICAL PRACTICE","",A82006-811088,200000020567,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82007,"DUKE STREET SURGERY","",A82007-810835,200000020408,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82008,"NORWOOD MEDICAL CENTRE","",A82008-810836,200000020409,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82009,"BRIDGEGATE MEDICAL CENTRE","",A82009-810837,200000020410,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82010,"ABBEY ROAD SURGERY","",A82010-810838,200000020411,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82012,"BRAMPTON MEDICAL PRACTICE","",A82012-811089,200000020568,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82013,"UPPER EDEN MEDICAL PRACTICE","",A82013-811090,200000020569,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82014,"CALDBECK SURGERY","",A82014-811096,200000020570,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82015,"WARWICK ROAD SURGERY","",A82015-811101,200000020571,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82016,"CARLISLE HEALTHCARE","",A82016-811105,200000020572,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82018,"SPENCER ST SURGERY","",A82018-811106,200000020573,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82019,"FUSEHILL MEDICAL PRACTICE","",A82019-811108,200000020574,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82020,"EDEN MEDICAL GROUP","",A82020-811109,200000020575,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82021,"CASTLEGATE AND DERWENT SURGERY","",A82021-811110,200000020576,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82022,"DALSTON MEDICAL GROUP","",A82022-811111,200000020577,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82023,"DISTINGTON SURGERY","",A82023-811112,200000020578,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82024,"SEASCALE HEALTH CENTRE","",A82024-811113,200000020579,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82025,"CAPTAIN FRENCH SURGERY","",A82025-810839,200000020412,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82026,"THE JAMES COCHRANE PRACT","",A82026-810840,200000020413,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82027,"STATION HOUSE SURGERY","",A82027-810841,200000020414,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82028,"CASTLEHEAD MEDICAL CENTRE","",A82028-811114,200000020580,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82029,"THE CROFT SURGERY","",A82029-811115,200000020581,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82030,"LUNESDALE SURGERY","",A82030-810842,200000020415,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82031,"SHAP MEDICAL PRACTICE","",A82031-811116,200000020582,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82032,"MARYPORT HEALTH SERVICES","",A82032-811117,200000020583,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82033,"WATERLOO HOUSE SURGERY","",A82033-810843,200000020416,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82034,"STONELEIGH SURGERY","",A82034-810844,200000020417,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS MORECAMBE BAY CCG"
A82035,"BIRBECK MEDICAL GROUP","",A82035-811118,200000020584,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82036,"THE LAKES MEDICAL PRACTICE","",A82036-811119,200000020585,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82037,"SILLOTH GROUP MEDICAL PRACTICE","",A82037-811120,200000020586,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82038,"TEMPLE SOWERBY MEDICAL PRACTICE","",A82038-811121,200000020587,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82039,"DALTON SURGERY","",A82039-810845,200000020418,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82041,"LOWTHER MEDICAL CENTRE","",A82041-811123,200000020588,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82044,"FELLVIEW HEALTHCARE","",A82044-811124,200000020589,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82045,"WIGTON GROUP MEDICAL PRACTICE","",A82045-811125,200000020590,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82046,"WINDERMERE HEALTH CENTRE","",A82046-810846,200000020419,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82047,"JAMES STREET GROUP PRACT","",A82047-811126,200000020591,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82048,"BEECHWOOD GROUP PRACTICE","",A82048-811127,200000020592,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH CUMBRIA CCG"
A82049,"ORCHARD HOUSE SURGERY","",A82049-811128,200000020593,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH CUMBRIA CCG"
A82050,"OXFORD STREET SURGERY","",A82050-811129,200000020594,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH CUMBRIA CCG"
A82053,"NUTWOOD MEDICAL PRACTICE","",A82053-810847,200000020420,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82055,"ASPATRIA MEDICAL GROUP","",A82055-811130,200000020595,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82058,"QUEEN STREET MEDICAL PRACTICE","",A82058-811131,200000020596,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82062,"ATKINSON HEALTH CENTRE","",A82062-810848,200000020421,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82064,"WESTCROFT HOUSE SURGERY","",A82064-811132,200000020597,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191216,01H,"NHS NORTH EAST AND NORTH CUMBRIA ICB - 01H"
A82065,"PENINSULA MEDICAL PRACTICE","",A82065-810849,200000020422,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS MORECAMBE BAY CCG"
A82068,"ULVERSTON COMMUNITY HEALTH CENTRE","",A82068-810850,200000020423,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
A82070,"ST MARY'S SURGERY","",A82070-810851,200000020424,"EGTON MEDICAL INFORMATION SYSTEMS LTD (EMIS)",EMIS,"GP Connect",20191213,01K,"NHS LANCASHIRE AND SOUTH CUMBRIA ICB - 01K"
